Species,SocialMatingSystem,Monopolization,FemalesPerMaleInBreedingGroup,MalesPerBreedingGroup,SocialGroupSize,MaleBodyMass(SSDDataset).in.g,FemaleBodyMass(SSDDataset).in.g,SexualSizeDimorphism,MaleCanineHeight.in.mm,FemaleCanineHeight.in.mm,SexualCanineDimorphism,MaleBodyMass(CanineDataset).in.g,CombinedTestesMass.in.g,MaleBodyMass(TestesDataset).in.g,meanMaleBodyMass.in.g,HeadFlesh,HeadSkin,HeadHair,BodyFlesh,BodySkin,BodyHair,BodyPelageDichrom,GenitalFlesh,GenitalSkin,GenitalHair,SexualOrnamentDimorphism (ExcludingDichromatism),SexualOrnamentDimorphism,TotalOrnamentDimorphism(PreviouslyPublished),OrnamentDescription,CladeForMale-specificOrnamentation,Intra-cladeDavid'sScoreMale-specificOrnamentation,References,Comments
Chiropotes satanas,Multimale,No,,,32,2900,2580,1.124,11.09,9.6,1.155,2900,,,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,,Pitheciinae,-0.625,"2-4, 6",
Chlorocebus aethiops,Multimale,No,1.4,3,28.9,4260,2980,1.43,17.66,9.76,1.809,5300,13,4950,4837,0,0,0,0,0,0,0,0,1,0,1,1,4,Male has a blue scrotum and red perineum and prepuce (3),Terrestrial Cercophithecus,-1.333,"3-5, 8, 11, 12",
Chlorocebus pygerythrus,Multimale,No,,,21,4290,2730,1.571,20.4,12.02,1.697,4290,20.6,5290,4623,0,0,0,0,0,0,0,0,2,0,2,2,4,Male has red sex skin on penile shaft and blue on the scrotum (4),Terrestrial Cercophithecus,0.667,"2, 3, 6, 20",
Colobus angolensis,Multimale,No,2,,81,9680,7570,1.279,17.66,9.57,1.845,9680,,,9680,0,0,0,0,0,0,0,0,0,1,1,1,2,Tail not tufted in females (2),,,"2.4, 6",
Colobus guereza,Polygynous,Yes,3,1,9,13500,9200,1.467,20.31,13.49,1.506,13500,3.447,10050,12350,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2-4, 6, 8, 18",
Colobus polykomos,Multimale,No,,,13.6,9900,8300,1.193,19.13,10.81,1.77,9900,10.7,10250,10017,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,6-Feb,Testes mass from volume
Colobus satanas,Multimale,No,,,13.7,10420,7420,1.402,16.08,9.16,1.755,10400,,,10410,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"2, 3, 6, 15",Testes mass from volume
Erythrocebus patas,Polygynous,Yes,1.7,3,30,12400,6500,1.908,26.5,12.43,2.132,12400,7.2,13000,12600,0,0,0,0,0,0,0,0,2,0,2,2,4,Blue scrotum and red anogenital field in male (lacking in female) (4),Terrestrial Cercophithecus,1.167,"2-4, 6, 8, 12",
Eulemur coronatus,Multimale,No,,,8.4,1690,1620,1.043,9.43,8.48,1.112,1690,6.96,1850,1743,0,0,1,0,0,0,1,0,0,0,1,2,4,"Male mostly brown, female mostly grey pelage (1); male black crown on head (3)",Lemuridae,1.75,"3, 4, 11, 13, 21",
Eulemur fulvus,Multimale,No,1.2,3.8,9.2,2180,2250,1,11.87,10.09,1.176,2400,20.489,2130,2237,0,0,0,0,0,0,0,0,0,0,0,0,0,,Lemuridae,-5.833,"3, 4, 8, 11, 13, 21",Testes mass from volume
Eulemur macaco,Multimale,No,,3.2,8.4,2370,2510,0.964,10.58,10.34,1.023,2400,16.65,2500,2423,0,0,0,0,0,0,1,0,0,0,0,1,5,"Male black, female mostly brown (5)",Lemuridae,5.25,"3, 4, 8, 11-12",
Eulemur mongoz,Monogamous,No,1,1,3.5,1630,1610,1.012,9.63,8.06,1.195,1680,12.25,1660,1657,0,0,1,0,0,0,0,0,0,0,1,1,4,Male brown throat band (female with white throat) (4),Lemuridae,0,"3, 4, 8, 11-12",
